Pos,FirstName,Surname,Laps,Time/Retired,PTS,Country,Day,Month,Year,Event
NC,Fernando,Alonso,3,DNF,0,Mexico,28,Oct,2018,Race result
NC,Fernando,Alonso,9,DNF,0,Italy,2,Sep,2018,Race result
NC,Kevin,Magnussen,22,DNF,0,Australia,25,Mar,2018,Race result
NC,Valtteri,Bottas,13,DNF,0,Austria,1,Jul,2018,Race result
NC,Charles,Leclerc,31,DNF,0,United States,21,Oct,2018,Race result
NC,Marcus,Ericsson,31,DNF,0,Great Britain,8,Jul,2018,Race result
NC,Daniel,Ricciardo,27,DNF,0,Germany,22,Jul,2018,Race result
NC,Sergey,Sirotkin,4,DNF,0,Australia,25,Mar,2018,Race result
NC,Sergey,Sirotkin,0,DNF,0,Azerbaijan,29,Apr,2018,Race result
NC,Charles,Leclerc,38,DNF,0,Japan,7,Oct,2018,Race result
NC,Nico,Hulkenberg,37,DNF,0,Japan,7,Oct,2018,Race result
NC,Lance,Stroll,0,DNF,0,Canada,10,Jun,2018,Race result
NC,Stoffel,Vandoorne,49,DNF,0,Hungary,29,Jul,2018,Race result
NC,Daniel,Ricciardo,53,DNF,0,Austria,1,Jul,2018,Race result
NC,Lance,Stroll,53,DNF,0,Germany,22,Jul,2018,Race result
NC,Fernando,Alonso,1,DNF,0,United States,21,Oct,2018,Race result
NC,Max,Verstappen,39,DNF,0,Azerbaijan,29,Apr,2018,Race result
NC,Charles,Leclerc,18,DNF,0,Great Britain,8,Jul,2018,Race result
NC,Daniel,Ricciardo,23,DNF,0,Italy,2,Sep,2018,Race result
NC,Marcus,Ericsson,24,DNF,0,Abu Dhabi,25,nov.,2018,Race result
NC,Brendon,Hartley,54,DNF,0,Austria,1,Jul,2018,Race result
NC,Charles,Leclerc,0,DNF,0,Hungary,29,Jul,2018,Race result
NC,Daniel,Ricciardo,39,DNF,0,Azerbaijan,29,Apr,2018,Race result
NC,Kevin,Magnussen,8,DNF,0,Japan,7,Oct,2018,Race result
NC,Brendon,Hartley,0,DNF,0,Canada,10,Jun,2018,Race result
NC,Marcus,Ericsson,5,DNF,0,Australia,25,Mar,2018,Race result
NC,Nico,Hulkenberg,0,DNF,0,Spain,13,May,2018,Race result
NC,Kimi,Räikkönen,6,DNF,0,Abu Dhabi,25,nov.,2018,Race result
NC,Daniel,Ricciardo,28,DNF,0,Belgium,26,aug.,2018,Race result
NC,Kimi,Räikkönen,25,DNF,0,Spain,13,May,2018,Race result
NC,Sergey,Sirotkin,51,DNF,0,Germany,22,Jul,2018,Race result
NC,Daniel,Ricciardo,8,DNF,0,United States,21,Oct,2018,Race result
NC,Fernando,Alonso,0,DNF,0,Belgium,26,aug.,2018,Race result
NC,Sergio,Perez,27,DNF,0,France,24,Jun,2018,Race result
NC,Daniel,Ricciardo,61,DNF,0,Mexico,28,Oct,2018,Race result
NC,Carlos,Sainz,37,DNF,0,Great Britain,8,Jul,2018,Race result
NC,Brendon,Hartley,1,DNF,0,Great Britain,8,Jul,2018,Race result
NC,Marcus,Ericsson,20,DNF,0,Brazil,11,nov.,2018,Race result
NC,Esteban,Ocon,44,DNF,0,Abu Dhabi,25,nov.,2018,Race result
NC,Esteban,Ocon,0,DNF,0,Singapore,16,Sep,2018,Race result
NC,Brendon,Hartley,4,DNF,0,Russia,30,Sep,2018,Race result
NC,Kimi,Räikkönen,8,DNF,0,Belgium,26,aug.,2018,Race result
NC,Kimi,Räikkönen,35,DNF,0,Bahrain,8,Apr,2018,Race result
NC,Esteban,Ocon,38,DNF,0,Spain,13,May,2018,Race result
NC,Carlos,Sainz,28,DNF,0,Mexico,28,Oct,2018,Race result
NC,Nico,Hulkenberg,11,DNF,0,Austria,1,Jul,2018,Race result
NC,Pierre,Gasly,13,DNF,0,Australia,25,Mar,2018,Race result
NC,Max,Verstappen,3,DNF,0,Bahrain,8,Apr,2018,Race result
NC,Pierre,Gasly,46,DNF,0,Abu Dhabi,25,nov.,2018,Race result
NC,Sebastian,Vettel,51,DNF,0,Germany,22,Jul,2018,Race result
NC,Romain,Grosjean,24,DNF,0,Australia,25,Mar,2018,Race result
NC,Nico,Hulkenberg,0,DNF,0,Belgium,26,aug.,2018,Race result
NC,Pierre,Gasly,4,DNF,0,Russia,30,Sep,2018,Race result
NC,Esteban,Ocon,0,DNF,0,Azerbaijan,29,Apr,2018,Race result
NC,Sergio,Perez,38,DNF,0,Mexico,28,Oct,2018,Race result
NC,Pierre,Gasly,0,DNF,0,France,24,Jun,2018,Race result
NC,Romain,Grosjean,2,DNF,0,United States,21,Oct,2018,Race result
NC,Sebastian,Vettel,0,DNF,0,Singapore,17,Sep,2017,Race result
NC,Carlos,Sainz,0,DNF,0,Canada,11,Jun,2017,Race result
NC,Kevin,Magnussen,8,DNF,0,Bahrain,16,Apr,2017,Race result
NC,Max,Verstappen,10,DNF,0,Canada,11,Jun,2017,Race result
NC,Felipe,Massa,25,DNF,0,Azerbaijan,25,Jun,2017,Race result
NC,Kevin,Magnussen,50,DNF,0,Singapore,17,Sep,2017,Race result
NC,Carlos,Sainz,12,DNF,0,Bahrain,16,Apr,2017,Race result
NC,Jolyon,Palmer,29,DNF,0,Italy,3,Sep,2017,Race result
NC,Carlos,Sainz,0,DNF,0,Japan,8,Oct,2017,Race result
NC,Carlos,Sainz,44,DNF,0,Austria,9,Jul,2017,Race result
NC,Fernando,Alonso,33,DNF,0,China,9,Apr,2017,Race result
NC,Jolyon,Palmer,0,DNF,0,Russia,30,Apr,2017,Race result
NC,Stoffel,Vandoorne,17,DNF,0,China,9,Apr,2017,Race result
NC,Daniel,Ricciardo,14,DNF,0,United States,22,Oct,2017,Race result
NC,Nico,Hulkenberg,3,DNF,0,United States,22,Oct,2017,Race result
NC,Fernando,Alonso,0,DNS,0,Russia,30,Apr,2017,Race result
NC,Carlos,Sainz,59,DNF,0,Mexico,29,Oct,2017,Race result
NC,Marcus,Ericsson,21,DNF,0,Australia,26,Mar,2017,Race result
NC,Jolyon,Palmer,0,DNS,0,Great Britain,16,Jul,2017,Race result
NC,Lance,Stroll,45,DNF,0,Japan,8,Oct,2017,Race result
NC,Stoffel,Vandoorne,0,DNF,0,Brazil,12,nov.,2017,Race result
NC,Max,Verstappen,0,DNF,0,Singapore,17,Sep,2017,Race result
NC,Lance,Stroll,0,DNF,0,China,9,Apr,2017,Race result
NC,Carlos,Sainz,0,DNF,0,Great Britain,16,Jul,2017,Race result
NC,Max,Verstappen,1,DNF,0,Spain,14,May,2017,Race result
NC,Felipe,Massa,0,DNF,0,Canada,11,Jun,2017,Race result
NC,Marcus,Ericsson,55,DNF,0,Mexico,29,Oct,2017,Race result
NC,Stoffel,Vandoorne,33,DNF,0,Italy,3,Sep,2017,Race result
NC,Daniel,Ricciardo,5,DNF,0,Mexico,29,Oct,2017,Race result
NC,Jolyon,Palmer,7,DNF,0,Azerbaijan,25,Jun,2017,Race result
NC,Marcus,Ericsson,50,DNF,0,Bahrain,16,Apr,2017,Race result
NC,Kimi,Räikkönen,0,DNS,0,Malaysia,1,Oct,2017,Race result
NC,Max,Verstappen,7,DNF,0,Belgium,27,aug.,2017,Race result
NC,Antonio,Giovinazzi,3,DNF,0,China,9,Apr,2017,Race result
NC,Brendon,Hartley,30,DNF,0,Mexico,29,Oct,2017,Race result
NC,Daniil,Kvyat,10,DNF,0,Singapore,17,Sep,2017,Race result
NC,Marcus,Ericsson,35,DNF,0,Singapore,17,Sep,2017,Race result
NC,Nico,Hulkenberg,40,DNF,0,Japan,8,Oct,2017,Race result
NC,Daniil,Kvyat,9,DNF,0,Azerbaijan,25,Jun,2017,Race result
NC,Paul,di Resta,60,DNF,0,Hungary,30,Jul,2017,Race result
NC,Carlos,Sainz,31,DNF,0,Abu Dhabi,26,nov.,2017,Race result
NC,Max,Verstappen,11,DNF,0,Bahrain,16,Apr,2017,Race result
NC,Daniil,Kvyat,54,DNF,0,Canada,11,Jun,2017,Race result
NC,Nico,Hulkenberg,24,DNF,0,Mexico,29,Oct,2017,Race result
NC,Kimi,Räikkönen,0,DNF,0,Spain,14,May,2017,Race result
NC,Max,Verstappen,0,DNF,0,Austria,9,Jul,2017,Race result
NC,Nico,Hulkenberg,15,DNF,0,Monaco,28,May,2017,Race result
NC,Nico,Hulkenberg,48,DNF,0,Singapore,17,Sep,2017,Race result
NC,Kevin,Magnussen,29,DNF,0,Austria,9,Jul,2017,Race result
NC,Fernando,Alonso,50,DNF,0,Australia,26,Mar,2017,Race result
NC,Romain,Grosjean,20,DNF,0,Hungary,30,Jul,2017,Race result
NC,Nico,Hulkenberg,24,DNF,0,Azerbaijan,25,Jun,2017,Race result
NC,Fernando,Alonso,24,DNF,0,United States,22,Oct,2017,Race result
NC,Pascal,Wehrlein,2,DNF,0,Belgium,27,aug.,2017,Race result
NC,Fernando,Alonso,25,DNF,0,Belgium,27,aug.,2017,Race result
NC,Pascal,Wehrlein,5,DNF,0,United States,22,Oct,2017,Race result
NC,Brendon,Hartley,40,DNF,0,Brazil,12,nov.,2017,Race result
